,timestamp,exchange eth
179,1606866931,3262289.400490528
180,1606944238,3238659.4381995434
181,1607020192,3262827.2359655956
182,1607096790,3251035.5150819547
183,1607173380,3204385.814552683
184,1607250036,3242513.9344137586
185,1607325865,3237173.8485011654
186,1607403316,3220046.8001269386
187,1607479311,3284766.702130945
188,1607555682,3254850.0374340094
189,1607632574,3273132.8356522457
190,1607710072,3249643.756829159
191,1607786310,3215347.128741689
192,1607862000,3192039.0992919845
193,1607939160,3190433.2966581937
194,1608015700,3162758.987620994
195,1608092310,3163436.4618540434
196,1608168760,3195912.2613022565
197,1608245304,3232271.1107532447
198,1608321735,3233762.1785642104
199,1608397753,3133716.863028142
200,1608474614,3145935.0498785735
201,1608550001,3124008.005781735
202,1608626645,3113822.9551693583
203,1608702981,3140360.8694039877
204,1608779216,3180372.5248855674
205,1608855606,3144363.1745713362
206,1608932476,3124583.142398456
207,1609008636,3127611.4063348356
208,1609085219,3175976.4551618267
209,1609160053,3276882.080299863
210,1609237019,3282053.798850176
211,1609313907,3253762.318524847
212,1609390604,3188624.8030740465
213,1609466686,3163765.4765381296
214,1609543184,3200935.4413890573
215,1609618515,3231248.9749409845
216,1609695272,3169310.5740673128
217,1609772284,3404110.420227248
218,1609848691,3428317.8435650114
219,1609924929,3413955.8109616945
220,1610001248,3360541.526815199
221,1610077955,3372631.039619018
222,1610153725,3423543.17271785
223,1610230225,3455014.36544285
224,1610306236,3545028.871210434
225,1610382859,3516385.695466914
226,1610459844,3517835.4774301467
227,1610536273,3468418.5073940973
228,1610610990,3434659.103043803
229,1610688749,3428718.0762986313
230,1610763608,3509831.555994157
231,1610840612,3530314.270096404
232,1610917460,3519555.7275840756
233,1610993896,3474976.714058802
234,1611070184,3596065.366703931
235,1611146481,3612443.648940409
236,1611222987,3587262.3932519904
237,1611299085,3602637.8492144467
238,1611375886,3590674.978609971
239,1611451522,3591424.321213819
240,1611528331,3682852.7440445796
241,1611604449,3733616.4180840403
242,1611681172,3689374.343235684
243,1611758122,3672004.5950438324
244,1611835376,3648253.4338807967
245,1611911763,3656432.5897626635
246,1611988162,3637249.48703249
247,1612065632,3623501.9978211294
248,1612140892,3600171.4093577717
249,1612217732,3597231.1270338288
